"season_1","season_2","team_id","team_name","player_id","player_name","game_id","game_date","home_team","away_team","quarter","mins_left","secs_left","secs_left_q","event_type","shot_made","action_type","shot_type","basic_zone","zone_name","zone_abb","zone_range","loc_x","loc_y","shot_distance","is_three","shot_value","is_clutch"
2008,"2007-08","1610612737","Atlanta Hawks","101107","Marvin Williams","20700307","2007-12-11","ATL","TOR",2,9,50,119,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","16-24 ft.","20","8.05","20",0,2,0
2008,"2007-08","1610612762","Utah Jazz","101139","CJ Miles","20700312","2007-12-11","UTA","POR",2,9,1,70,"Made Shot",True,"Driving Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","5.2","10.85","7",0,2,0
2008,"2007-08","1610612751","New Jersey Nets","2210","Richard Jefferson","20700309","2007-12-11","NJN","LAC",2,7,6,73,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center","RC","16-24 ft.","-10.8","17.45","16",0,2,0
2008,"2007-08","1610612761","Toronto Raptors","2574","Jason Kapono","20700307","2007-12-11","ATL","TOR",2,10,2,72,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center","RC","16-24 ft.","-12.3","21.35","20",0,2,0
2008,"2007-08","1610612757","Portland Trail Blazers","2038","Joel Przybilla","20700312","2007-12-11","UTA","POR",2,9,26,95,"Made Shot",True,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612746","Los Angeles Clippers","200781","Paul Davis","20700309","2007-12-11","NJN","LAC",2,7,26,93,"Made Shot",True,"Putback Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","1733","Al Harrington","20700313","2007-12-11","GSW","SAS",2,8,0,68,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","15.1","28.25","27",1,3,0
2008,"2007-08","1610612762","Utah Jazz","101114","Deron Williams","20700312","2007-12-11","UTA","POR",2,9,37,106,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Center","C","16-24 ft.","-3.3","27.45","22",0,2,0
2008,"2007-08","1610612741","Chicago Bulls","693","Joe Smith","20700311","2007-12-11","CHI","SEA",2,8,18,86,"Made Shot",True,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","8-16 ft.","1","18.05","12",0,2,0
2008,"2007-08","1610612760","Seattle SuperSonics","2555","Nick Collison","20700311","2007-12-11","CHI","SEA",2,8,37,105,"Made Shot",True,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612746","Los Angeles Clippers","1749","Cuttino Mobley","20700309","2007-12-11","NJN","LAC",2,7,29,96,"Missed Shot",False,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612765","Detroit Pistons","2419","Tayshaun Prince","20700310","2007-12-11","MEM","DET",2,8,15,83,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center","LC","16-24 ft.","7.2","23.55","19",0,2,0
2008,"2007-08","1610612764","Washington Wizards","2406","Caron Butler","20700306","2007-12-11","WAS","MIN",2,7,39,106,"Missed Shot",False,"Jump Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","2.3","7.75","3",0,2,0
2008,"2007-08","1610612762","Utah Jazz","101139","CJ Miles","20700312","2007-12-11","UTA","POR",2,9,59,128,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Center","C","16-24 ft.","0.8","27.15","21",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","101235","Kelenna Azubuike","20700313","2007-12-11","GSW","SAS",2,8,37,105,"Made Shot",True,"Turnaround Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","8-16 ft.","-15.3","5.95","15",0,2,0
2008,"2007-08","1610612764","Washington Wizards","2427","Roger Mason Jr.","20700306","2007-12-11","WAS","MIN",2,7,44,111,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","16.1","23.95","24",1,3,0
2008,"2007-08","1610612761","Toronto Raptors","101181","Jose Calderon","20700307","2007-12-11","ATL","TOR",2,10,20,90,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Center","C","16-24 ft.","0.2","22.55","17",0,2,0
2008,"2007-08","1610612739","Cleveland Cavaliers","1800","Damon Jones","20700308","2007-12-11","CLE","IND",2,9,22,91,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Center","C","24+ ft.","1.6","29.95","24",1,3,0
2008,"2007-08","1610612737","Atlanta Hawks","2735","Josh Childress","20700307","2007-12-11","ATL","TOR",2,10,34,104,"Made Shot",True,"Reverse Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612750","Minnesota Timberwolves","101155","Ryan Gomes","20700306","2007-12-11","WAS","MIN",2,8,0,68,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","1.6","7.75","2",0,2,0
2008,"2007-08","1610612754","Indiana Pacers","2399","Mike Dunleavy","20700308","2007-12-11","CLE","IND",2,9,41,110,"Made Shot",True,"Reverse Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0.5","6.25","1",0,2,0
2008,"2007-08","1610612764","Washington Wizards","2427","Roger Mason Jr.","20700306","2007-12-11","WAS","MIN",2,8,12,80,"Made Shot",True,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","20.9","20.35","25",1,3,0
2008,"2007-08","1610612761","Toronto Raptors","200745","Andrea Bargnani","20700307","2007-12-11","ATL","TOR",2,10,41,111,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center","RC","16-24 ft.","-8.7","21.55","18",0,2,0
2008,"2007-08","1610612760","Seattle SuperSonics","2555","Nick Collison","20700311","2007-12-11","CHI","SEA",2,9,6,75,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center","LC","16-24 ft.","14.5","22.15","22",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","2554","Mickael Pietrus","20700313","2007-12-11","GSW","SAS",2,9,2,71,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center","RC","16-24 ft.","-9.8","25.35","22",0,2,0
2008,"2007-08","1610612762","Utah Jazz","200794","Paul Millsap","20700312","2007-12-11","UTA","POR",2,10,10,80,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612741","Chicago Bulls","2804","Andres Nocioni","20700311","2007-12-11","CHI","SEA",2,9,22,91,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center","LC","16-24 ft.","6.7","24.35","20",0,2,0
2008,"2007-08","1610612759","San Antonio Spurs","101177","Fabricio Oberto","20700313","2007-12-11","GSW","SAS",2,9,21,90,"Missed Shot",False,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","8-16 ft.","4.4","15.65","11",0,2,0
2008,"2007-08","1610612765","Detroit Pistons","686","Antonio McDyess","20700310","2007-12-11","MEM","DET",2,8,46,114,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","16-24 ft.","19.9","9.55","20",0,2,0
2008,"2007-08","1610612751","New Jersey Nets","2411","Bostjan Nachbar","20700309","2007-12-11","NJN","LAC",2,7,51,118,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612737","Atlanta Hawks","200749","Shelden Williams","20700307","2007-12-11","ATL","TOR",2,10,53,123,"Missed Shot",False,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612757","Portland Trail Blazers","2566","Travis Outlaw","20700312","2007-12-11","UTA","POR",2,10,27,97,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","16-24 ft.","18.2","16.25","21",0,2,0
2008,"2007-08","1610612760","Seattle SuperSonics","2557","Luke Ridnour","20700311","2007-12-11","CHI","SEA",2,9,41,110,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Center","C","24+ ft.","5.7","30.25","25",1,3,0
2008,"2007-08","1610612754","Indiana Pacers","2399","Mike Dunleavy","20700308","2007-12-11","CLE","IND",2,10,12,82,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center","LC","16-24 ft.","6.9","19.85","16",0,2,0
2008,"2007-08","1610612751","New Jersey Nets","2411","Bostjan Nachbar","20700309","2007-12-11","NJN","LAC",2,8,8,76,"Missed Shot",False,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side","R","24+ ft.","-22.7","4.75","22",1,3,0
2008,"2007-08","1610612762","Utah Jazz","101139","CJ Miles","20700312","2007-12-11","UTA","POR",2,10,40,110,"Missed Shot",False,"Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","-2.6","12.15","7",0,2,0
2008,"2007-08","1610612754","Indiana Pacers","2416","Kareem Rush","20700308","2007-12-11","CLE","IND",2,10,18,88,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Center","C","16-24 ft.","1.1","23.85","18",0,2,0
2008,"2007-08","1610612741","Chicago Bulls","200748","Tyrus Thomas","20700311","2007-12-11","CHI","SEA",2,9,48,117,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612746","Los Angeles Clippers","201154","Al Thornton","20700309","2007-12-11","NJN","LAC",2,8,27,95,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612760","Seattle SuperSonics","1887","Wally Szczerbiak","20700311","2007-12-11","CHI","SEA",2,9,55,124,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center","LC","16-24 ft.","14","23.55","23",0,2,0
2008,"2007-08","1610612754","Indiana Pacers","2416","Kareem Rush","20700308","2007-12-11","CLE","IND",2,10,29,99,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","14.6","24.95","24",1,3,0
2008,"2007-08","1610612744","Golden State Warriors","2740","Andris Biedrins","20700313","2007-12-11","GSW","SAS",2,9,35,104,"Made Shot",True,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-0.6","6.55","1",0,2,0
2008,"2007-08","1610612762","Utah Jazz","200794","Paul Millsap","20700312","2007-12-11","UTA","POR",2,11,0,71,"Missed Shot",False,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Left Side","L","8-16 ft.","4.4","12.05","8",0,2,0
2008,"2007-08","1610612763","Memphis Grizzlies","200752","Rudy Gay","20700310","2007-12-11","MEM","DET",2,9,8,77,"Missed Shot",False,"Driving Dunk Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612751","New Jersey Nets","353","Darrell Armstrong","20700309","2007-12-11","NJN","LAC",2,8,37,105,"Missed Shot",False,"Driving Jump shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","4.4","9.45","6",0,2,0
2008,"2007-08","1610612750","Minnesota Timberwolves","952","Antoine Walker","20700306","2007-12-11","WAS","MIN",2,8,51,119,"Missed Shot",False,"Jump Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","2.3","7.55","3",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","1536","Stephen Jackson","20700313","2007-12-11","GSW","SAS",2,9,37,106,"Missed Shot",False,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","1","12.65","7",0,2,0
2008,"2007-08","1610612739","Cleveland Cavaliers","2544","LeBron James","20700308","2007-12-11","CLE","IND",2,10,47,117,"Missed Shot",False,"Running Jump Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0.2","9.05","3",0,2,0
2008,"2007-08","1610612764","Washington Wizards","101154","Andray Blatche","20700306","2007-12-11","WAS","MIN",2,9,6,75,"Made Shot",True,"Driving Reverse Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0.8","5.15","0",0,2,0
2008,"2007-08","1610612761","Toronto Raptors","2568","Carlos Delfino","20700307","2007-12-11","ATL","TOR",2,11,30,101,"Made Shot",True,"Jump Shot","3PT Field Goal","Left Corner 3","Left Side","L","24+ ft.","23","9.55","23",1,3,0
2008,"2007-08","1610612754","Indiana Pacers","2211","Troy Murphy","20700308","2007-12-11","CLE","IND",2,11,10,81,"Made Shot",True,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","9.7","28.15","24",1,3,0
2008,"2007-08","1610612765","Detroit Pistons","739","Rasheed Wallace","20700310","2007-12-11","MEM","DET",2,9,19,88,"Missed Shot",False,"Fadeaway Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","6.6","9.25","7",0,2,0
2008,"2007-08","1610612759","San Antonio Spurs","699","Brent Barry","20700313","2007-12-11","GSW","SAS",2,9,46,115,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center","RC","24+ ft.","-16.3","26.95","27",1,3,0
2008,"2007-08","1610612763","Memphis Grizzlies","200752","Rudy Gay","20700310","2007-12-11","MEM","DET",2,9,39,108,"Made Shot",True,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612746","Los Angeles Clippers","1749","Cuttino Mobley","20700309","2007-12-11","NJN","LAC",2,9,9,78,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","8-16 ft.","14.3","8.35","14",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","101145","Monta Ellis","20700313","2007-12-11","GSW","SAS",2,9,59,128,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","8-16 ft.","8.7","17.25","14",0,2,0
2008,"2007-08","1610612739","Cleveland Cavaliers","2760","Anderson Varejao","20700308","2007-12-11","CLE","IND",2,11,19,90,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-0.1","5.25","0",0,2,0
2008,"2007-08","1610612737","Atlanta Hawks","2735","Josh Childress","20700307","2007-12-11","ATL","TOR",2,11,38,109,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","16-24 ft.","17.7","14.75","20",0,2,0
2008,"2007-08","1610612762","Utah Jazz","101139","CJ Miles","20700312","2007-12-11","UTA","POR",2,11,25,96,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center","RC","24+ ft.","-17.6","23.35","25",1,3,0
2008,"2007-08","1610612760","Seattle SuperSonics","201145","Jeff Green","20700311","2007-12-11","CHI","SEA",2,10,14,84,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","16-24 ft.","-19.7","10.05","20",0,2,0
2008,"2007-08","1610612764","Washington Wizards","1712","Antawn Jamison","20700306","2007-12-11","WAS","MIN",2,9,44,113,"Made Shot",True,"Jump Shot","3PT Field Goal","Left Corner 3","Left Side","L","24+ ft.","23.8","3.65","23",1,3,0
2008,"2007-08","1610612746","Los Angeles Clippers","200781","Paul Davis","20700309","2007-12-11","NJN","LAC",2,9,51,120,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612754","Indiana Pacers","979","Jermaine O'Neal","20700308","2007-12-11","CLE","IND",2,11,36,107,"Made Shot",True,"Putback Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-0.6","5.45","0",0,2,0
2008,"2007-08","1610612759","San Antonio Spurs","714","Michael Finley","20700313","2007-12-11","GSW","SAS",2,10,12,82,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Right Side Center","RC","24+ ft.","-16.3","25.45","25",1,3,0
2008,"2007-08","1610612754","Indiana Pacers","2416","Kareem Rush","20700308","2007-12-11","CLE","IND",2,11,40,111,"Missed Shot",False,"Running Jump Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612741","Chicago Bulls","200748","Tyrus Thomas","20700311","2007-12-11","CHI","SEA",2,10,35,105,"Made Shot",True,"Alley Oop Layup shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612760","Seattle SuperSonics","1887","Wally Szczerbiak","20700311","2007-12-11","CHI","SEA",2,10,57,127,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center","RC","16-24 ft.","-14.4","21.55","21",0,2,0
2008,"2007-08","1610612746","Los Angeles Clippers","201154","Al Thornton","20700309","2007-12-11","NJN","LAC",2,9,53,122,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","16-24 ft.","-16.6","3.45","16",0,2,0
2008,"2007-08","1610612750","Minnesota Timberwolves","952","Antoine Walker","20700306","2007-12-11","WAS","MIN",2,10,0,70,"Made Shot",True,"Putback Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","2","5.55","2",0,2,0
2008,"2007-08","1610612765","Detroit Pistons","201167","Arron Afflalo","20700310","2007-12-11","MEM","DET",2,9,54,123,"Made Shot",True,"Driving Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612741","Chicago Bulls","2804","Andres Nocioni","20700311","2007-12-11","CHI","SEA",2,11,6,77,"Made Shot",True,"Hook Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","8-16 ft.","2.1","15.65","10",0,2,0
2008,"2007-08","1610612737","Atlanta Hawks","101107","Marvin Williams","20700307","2007-12-11","ATL","TOR",1,0,0,60,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","16-24 ft.","18.4","17.25","21",0,2,0
2008,"2007-08","1610612760","Seattle SuperSonics","101153","Mickael Gelabale","20700311","2007-12-11","CHI","SEA",2,11,28,99,"Made Shot",True,"Reverse Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","1536","Stephen Jackson","20700313","2007-12-11","GSW","SAS",2,10,33,103,"Missed Shot",False,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","-3.9","7.75","4",0,2,0
2008,"2007-08","1610612751","New Jersey Nets","200767","Josh Boone","20700309","2007-12-11","NJN","LAC",2,10,25,95,"Made Shot",True,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612750","Minnesota Timberwolves","952","Antoine Walker","20700306","2007-12-11","WAS","MIN",2,10,2,72,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","2.3","4.95","2",0,2,0
2008,"2007-08","1610612763","Memphis Grizzlies","2200","Pau Gasol","20700310","2007-12-11","MEM","DET",2,10,0,70,"Missed Shot",False,"Turnaround Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","5.7","7.85","6",0,2,0
2008,"2007-08","1610612761","Toronto Raptors","200745","Andrea Bargnani","20700307","2007-12-11","ATL","TOR",1,0,15,75,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center","LC","16-24 ft.","13","18.05","18",0,2,0
2008,"2007-08","1610612759","San Antonio Spurs","101177","Fabricio Oberto","20700313","2007-12-11","GSW","SAS",2,10,45,115,"Made Shot",True,"Tip Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612765","Detroit Pistons","201167","Arron Afflalo","20700310","2007-12-11","MEM","DET",2,10,18,88,"Made Shot",True,"Reverse Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612751","New Jersey Nets","1713","Vince Carter","20700309","2007-12-11","NJN","LAC",2,10,31,101,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Center","C","24+ ft.","6.6","28.95","24",1,3,0
2008,"2007-08","1610612759","San Antonio Spurs","1938","Manu Ginobili","20700313","2007-12-11","GSW","SAS",2,10,46,116,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","1.8","7.25","2",0,2,0
2008,"2007-08","1610612764","Washington Wizards","1498","Antonio Daniels","20700306","2007-12-11","WAS","MIN",2,10,20,90,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","-1.3","5.95","1",0,2,0
2008,"2007-08","1610612757","Portland Trail Blazers","200771","Sergio Rodriguez","20700312","2007-12-11","UTA","POR",1,0,1,61,"Made Shot",True,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","13","26.95","25",1,3,0
2008,"2007-08","1610612763","Memphis Grizzlies","200752","Rudy Gay","20700310","2007-12-11","MEM","DET",2,10,25,95,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612762","Utah Jazz","2430","Carlos Boozer","20700312","2007-12-11","UTA","POR",1,0,6,66,"Made Shot",True,"Hook Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0.8","5.75","0",0,2,0
2008,"2007-08","1610612746","Los Angeles Clippers","201154","Al Thornton","20700309","2007-12-11","NJN","LAC",2,10,55,125,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Right Side Center","RC","16-24 ft.","-11.5","19.35","18",0,2,0
2008,"2007-08","1610612744","Golden State Warriors","101235","Kelenna Azubuike","20700313","2007-12-11","GSW","SAS",2,10,55,125,"Missed Shot",False,"Running Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","8-16 ft.","-8.5","17.45","14",0,2,0
2008,"2007-08","1610612739","Cleveland Cavaliers","2544","LeBron James","20700308","2007-12-11","CLE","IND",1,0,6,66,"Made Shot",True,"Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","0.5","12.15","6",0,2,0
2008,"2007-08","1610612741","Chicago Bulls","200748","Tyrus Thomas","20700311","2007-12-11","CHI","SEA",2,11,42,113,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612737","Atlanta Hawks","201143","Al Horford","20700307","2007-12-11","ATL","TOR",1,0,36,96,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Right Side","R","8-16 ft.","-12.1","9.05","12",0,2,0
2008,"2007-08","1610612754","Indiana Pacers","2605","Marquis Daniels","20700308","2007-12-11","CLE","IND",1,0,16,76,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Center","C","8-16 ft.","-4.7","19.35","14",0,2,0
2008,"2007-08","1610612765","Detroit Pistons","2419","Tayshaun Prince","20700310","2007-12-11","MEM","DET",2,10,35,105,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Left Side Center","LC","24+ ft.","12.8","27.25","25",1,3,0
2008,"2007-08","1610612762","Utah Jazz","1723","Matt Harpring","20700312","2007-12-11","UTA","POR",1,0,9,69,"Missed Shot",False,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side","R","24+ ft.","-23.6","5.95","23",1,3,0
2008,"2007-08","1610612761","Toronto Raptors","2743","Kris Humphries","20700307","2007-12-11","ATL","TOR",1,0,56,116,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612759","San Antonio Spurs","714","Michael Finley","20700313","2007-12-11","GSW","SAS",2,11,4,75,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Center","C","24+ ft.","-7.5","30.95","26",1,3,0
2008,"2007-08","1610612763","Memphis Grizzlies","200768","Kyle Lowry","20700310","2007-12-11","MEM","DET",2,11,0,71,"Made Shot",True,"Running Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612741","Chicago Bulls","200748","Tyrus Thomas","20700311","2007-12-11","CHI","SEA",2,11,45,116,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612754","Indiana Pacers","2211","Troy Murphy","20700308","2007-12-11","CLE","IND",1,0,23,83,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","16-24 ft.","18.7","7.85","18",0,2,0
2008,"2007-08","1610612751","New Jersey Nets","2411","Bostjan Nachbar","20700309","2007-12-11","NJN","LAC",2,11,3,74,"Missed Shot",False,"Turnaround Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","8-16 ft.","13.3","6.05","13",0,2,0
2008,"2007-08","1610612761","Toronto Raptors","200745","Andrea Bargnani","20700307","2007-12-11","ATL","TOR",1,1,0,61,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Left Side Center","LC","16-24 ft.","7.2","22.35","18",0,2,0
2008,"2007-08","1610612765","Detroit Pistons","2419","Tayshaun Prince","20700310","2007-12-11","MEM","DET",2,11,6,77,"Missed Shot",False,"Running Jump Shot","2PT Field Goal","In The Paint (Non-RA)","Center","C","Less Than 8 ft.","-1.6","10.15","5",0,2,0
2008,"2007-08","1610612739","Cleveland Cavaliers","1956","Ira Newble","20700308","2007-12-11","CLE","IND",1,0,39,99,"Made Shot",True,"Jump Shot","2PT Field Goal","Mid-Range","Center","C","8-16 ft.","0.8","20.05","14",0,2,0
2008,"2007-08","1610612741","Chicago Bulls","2732","Ben Gordon","20700311","2007-12-11","CHI","SEA",2,11,47,118,"Missed Shot",False,"Jump Shot","3PT Field Goal","Right Corner 3","Right Side","R","24+ ft.","-22.7","7.75","22",1,3,0
2008,"2007-08","1610612764","Washington Wizards","1712","Antawn Jamison","20700306","2007-12-11","WAS","MIN",2,10,44,114,"Missed Shot",False,"Jump Shot","3PT Field Goal","Above the Break 3","Center","C","24+ ft.","-5.9","29.25","24",1,3,0
2008,"2007-08","1610612746","Los Angeles Clippers","1739","Ruben Patterson","20700309","2007-12-11","NJN","LAC",2,11,14,85,"Missed Shot",False,"Layup Shot","2PT Field Goal","Restricted Area","Center","C","Less Than 8 ft.","0","5.25","0",0,2,0
2008,"2007-08","1610612763","Memphis Grizzlies","2031","Stromile Swift","20700310","2007-12-11","MEM","DET",2,11,24,95,"Missed Shot",False,"Jump Shot","2PT Field Goal","Mid-Range","Left Side","L","8-16 ft.","14.3","5.25","14",0,2,0
